지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),지면온도(°C)
108,2019.7.29 9:00,26.4,,2.7,160,75,1000.2,26.7
108,2019.7.29 10:00,26.9,,3.5,200,74,1000.3,27.1
108,2019.7.29 11:00,27.7,,2.8,200,71,1000.2,29.4
108,2019.7.29 12:00,27.9,,1.8,230,72,1000.2,28.1
108,2019.7.29 13:00,28.5,,2.7,230,68,999.9,29.5
108,2019.7.29 14:00,29.6,,3.2,250,66,999.2,34.5
108,2019.7.29 15:00,29.6,,3.3,270,69,998.7,32.6
108,2019.7.29 16:00,29.9,,3.2,200,65,998.3,31.8
108,2019.7.29 17:00,29.4,,4.9,200,66,997.9,29.6
108,2019.7.29 18:00,29.4,,4.1,200,67,997.9,28.8
108,2019.7.29 19:00,28.8,,4.8,200,69,998.3,27.2
108,2019.7.29 20:00,28.3,,3.4,200,71,998.1,26.4
108,2019.7.29 21:00,27.9,,2.9,200,74,998.8,25.8
108,2019.7.29 22:00,27.7,,2.3,200,75,999.1,26.1
108,2019.7.29 23:00,27.5,,3.3,200,75,999,25.9
108,2019.7.30 0:00,27.4,,3.8,200,75,998.6,25.6
108,2019.7.30 1:00,27.3,,3,200,75,998.4,25.5
108,2019.7.30 2:00,27.1,,3.4,200,77,998.1,25.4
108,2019.7.30 3:00,26.9,,3.2,200,76,998.1,25.3
108,2019.7.30 4:00,26.8,0,3,200,75,998,25.1
108,2019.7.30 5:00,26.5,0,2.8,200,79,997.8,25.1
108,2019.7.30 6:00,26.6,,3,200,77,998.2,25.1
108,2019.7.30 7:00,26.6,0,2.3,180,79,998,25.1
108,2019.7.30 8:00,26.4,0.3,2.5,200,82,998.1,25.5
108,2019.7.30 9:00,27,0,3,200,78,998,27
108,2019.7.30 10:00,27.9,,4.1,200,74,997.7,28.7
108,2019.7.30 11:00,29.1,,3.9,200,69,997.2,31.7
108,2019.7.30 12:00,30.2,,4.5,200,66,996.8,33.8
108,2019.7.30 13:00,30.6,,4.8,200,64,996.4,32.4
108,2019.7.30 14:00,30.6,,3.4,200,66,996.2,30.6
108,2019.7.30 15:00,30.3,,4.1,230,69,996,30.2
108,2019.7.30 16:00,29.5,,4,200,74,996.3,28.9
108,2019.7.30 17:00,28.3,0.8,3.6,200,81,995.7,28.4
108,2019.7.30 18:00,28.4,,4.3,200,78,996,27.5
108,2019.7.30 19:00,28.3,,3.7,200,76,996.1,26.8
108,2019.7.30 20:00,28.2,,2.6,230,78,996.3,26.5
108,2019.7.30 21:00,27.8,,4,200,78,996.2,26.3
108,2019.7.30 22:00,27.7,,3.6,230,79,997.1,26.2
108,2019.7.30 23:00,27.5,0.1,2.1,200,82,997.4,26.1
108,2019.7.31 0:00,27.4,0,3.5,230,80,997.7,26
108,2019.7.31 1:00,26.6,0.8,2.6,200,91,997.8,25.8
108,2019.7.31 2:00,26.1,7.5,3.7,200,94,997.6,25.6
108,2019.7.31 3:00,26.3,0.2,3.7,200,87,997.8,25.6
108,2019.7.31 4:00,26.2,0,2.7,200,93,997.7,25.6
108,2019.7.31 5:00,26.3,,3.1,200,88,997.7,25.5
108,2019.7.31 6:00,26.5,0,3.4,230,85,997.9,25.5
108,2019.7.31 7:00,26.4,0.4,2.6,200,86,997.6,25.6
108,2019.7.31 8:00,24.7,18.1,4.4,270,95,998.7,24.4
108,2019.7.31 9:00,25.1,11.9,3.2,250,96,999.3,24.7
108,2019.7.31 10:00,24,15.5,1.6,250,97,1000.3,24.1
108,2019.7.31 11:00,24.3,1.4,1.8,160,96,999.7,25.3
108,2019.7.31 12:00,25,0.1,0.3,0,94,999.8,26.5
108,2019.7.31 13:00,25.6,0.3,1,20,93,999.3,27.8
108,2019.7.31 14:00,25.8,0,0.7,50,89,999.4,27.5
108,2019.7.31 15:00,25.9,0.1,0.8,50,93,998.9,26.9
108,2019.7.31 16:00,26.5,0.4,2.9,200,93,998.5,27.2
108,2019.7.31 17:00,25.6,2.1,1.5,320,95,998.8,27.3
108,2019.7.31 18:00,26,,0.8,270,94,998.7,26.9
108,2019.7.31 19:00,26.5,,1.5,270,93,999.1,26.5
108,2019.7.31 20:00,26.5,,2.6,250,86,999.6,25.9
108,2019.7.31 21:00,26.3,0,2.9,200,85,1000.3,25.5
108,2019.7.31 22:00,26,0.3,2,230,93,1001.1,25.5
108,2019.7.31 23:00,25.3,3.1,1.8,230,95,1001.2,25.2
108,2019.8.1 0:00,25.2,0.1,1.6,320,95,1001.3,25
108,2019.8.1 1:00,24.8,2,0.5,340,96,1001.2,24.9
108,2019.8.1 2:00,24.4,7.7,1.8,270,97,1001.7,24.6
108,2019.8.1 3:00,24.1,9.1,2,270,97,1001.7,24.2
108,2019.8.1 4:00,23.8,4.9,0.6,250,96,1001.6,23.8
108,2019.8.1 5:00,23.8,0,0.4,0,95,1001.9,23.9
108,2019.8.1 6:00,24,0,0.4,0,96,1002.1,24.2
108,2019.8.1 7:00,24.2,,0.3,0,97,1002.3,24.6
108,2019.8.1 8:00,24.9,,0.9,20,96,1002.4,26.2
108,2019.8.1 9:00,23.8,2.5,4.2,340,94,1003,24.6
108,2019.8.1 10:00,25.1,0.7,1.2,270,83,1002.7,29.9
108,2019.8.1 11:00,27.1,,1.8,200,70,1002.4,35.2
108,2019.8.1 12:00,28.3,,1.6,290,73,1002.3,33.3
108,2019.8.1 13:00,28.4,0,1.5,270,77,1002,31.9
108,2019.8.1 14:00,29.2,0,2.3,290,74,1001.6,33.1
108,2019.8.1 15:00,28.8,0,3.6,270,76,1001.4,31.6
108,2019.8.1 16:00,29.6,,3.3,290,72,1001.3,35.1
108,2019.8.1 17:00,30,,2.3,290,71,1001,33.8
108,2019.8.1 18:00,28.9,,2.3,290,77,1000.6,29.9
108,2019.8.1 19:00,28.2,,2.3,270,80,1000.9,28.1
108,2019.8.1 20:00,27.5,,2.2,270,84,1001.5,26.9
108,2019.8.1 21:00,26.9,,1.7,270,86,1002.2,26.2
108,2019.8.1 22:00,26.6,,1.4,290,87,1002.4,25.9
108,2019.8.1 23:00,26.3,,0.5,320,90,1002.6,25.4
108,2019.8.2 0:00,25.9,,1.2,290,92,1002.7,25.1
108,2019.8.2 1:00,25.8,,1.1,270,93,1002.6,24.9
108,2019.8.2 2:00,25.4,,0.1,0,94,1002.9,24.5
108,2019.8.2 3:00,25.1,,0.5,20,95,1002.6,24.1
108,2019.8.2 4:00,24.8,,0.8,320,96,1003,23.9
108,2019.8.2 5:00,24.7,,0.4,0,95,1003.2,24.4
108,2019.8.2 6:00,24.7,,0,0,93,1003.2,24.3
108,2019.8.2 7:00,25.2,,0.3,0,86,1003.5,25.9
108,2019.8.2 8:00,25.6,,0.5,20,84,1003.1,25.8
108,2019.8.2 9:00,26,,0.9,200,81,1003.3,26.1
108,2019.8.2 10:00,28.2,,1,50,64,1003.1,31.6
108,2019.8.2 11:00,29.2,,1.2,200,61,1002.6,33.8
108,2019.8.2 12:00,30.1,,0.5,180,60,1001.9,32.8
108,2019.8.2 13:00,31.6,,2.1,320,53,1001.2,38.4
108,2019.8.2 14:00,32,,2,290,52,1000.6,36.5
108,2019.8.2 15:00,32.4,,1.2,250,51,1000.3,37.6
108,2019.8.2 16:00,32.7,,2,270,52,999.9,37.1
108,2019.8.2 17:00,32.9,,2.6,270,54,999.7,36.2
108,2019.8.2 18:00,32.4,,2.8,270,62,999.8,32.5
108,2019.8.2 19:00,31.2,,2,270,69,999.9,29.9
108,2019.8.2 20:00,29.7,,2.7,290,76,1000.7,28.2
108,2019.8.2 21:00,29.1,,1.3,270,75,1001.5,27.3
108,2019.8.2 22:00,28.4,,2.2,290,77,1001.9,26.7
108,2019.8.2 23:00,27.9,,0.8,110,79,1002,26.2
108,2019.8.3 0:00,27.6,,0.9,290,80,1001.9,25.9
108,2019.8.3 1:00,27.2,,0.8,320,81,1001.7,25.5
108,2019.8.3 2:00,26.7,,1.1,270,84,1001.3,25.2
108,2019.8.3 3:00,26.4,,0.4,0,84,1001.6,25
108,2019.8.3 4:00,26.1,,0.5,70,85,1001.6,24.8
108,2019.8.3 5:00,25.9,,0.6,20,88,1001.6,24.6
108,2019.8.3 6:00,25.6,,0.8,50,90,1001.5,24.6
108,2019.8.3 7:00,26.2,,1,50,81,1001.5,25.2
108,2019.8.3 8:00,28,,1,70,73,1001.6,26.7
108,2019.8.3 9:00,29.7,,1,110,65,1001.6,29
108,2019.8.3 10:00,31.4,,1.1,50,60,1001.4,32.8
108,2019.8.3 11:00,32.8,,1.9,160,52,1001.3,37.8
108,2019.8.3 12:00,34.1,,1.7,180,48,1001.1,41.5
108,2019.8.3 13:00,34.8,,2,90,46,1000.9,41.9
108,2019.8.3 14:00,35.5,,1.9,250,46,1000.2,43.5
108,2019.8.3 15:00,35.1,,1.9,320,50,999.8,41.1
108,2019.8.3 16:00,31.2,2.9,2.8,270,83,999.9,32.1
108,2019.8.3 17:00,30.2,0.1,1.3,270,81,999.7,31.5
108,2019.8.3 18:00,29.9,,2.5,290,68,999.6,31.2
108,2019.8.3 19:00,29.9,,3.5,250,62,1000.9,29.4
108,2019.8.3 20:00,28.8,0,1.6,160,68,1001.3,27.9
108,2019.8.3 21:00,28.1,,0.2,0,69,1001.2,27
108,2019.8.3 22:00,27.5,,1.1,50,75,1001.4,26.4
108,2019.8.3 23:00,27,,1.1,50,76,1001.7,25.9
108,2019.8.4 0:00,26.4,,1.1,50,78,1001.5,25.6
108,2019.8.4 1:00,26.1,,0.6,50,79,1001.3,25.3
108,2019.8.4 2:00,25.8,,0.5,360,80,1001.1,25.1
108,2019.8.4 3:00,25.6,,0.4,0,81,1000.9,24.9
108,2019.8.4 4:00,25.4,,0.9,50,84,1000.8,24.6
108,2019.8.4 5:00,25.2,,0.8,50,85,1000.9,24.5
108,2019.8.4 6:00,25,,0.8,50,86,1001.4,24.4
108,2019.8.4 7:00,25.5,,0.8,90,78,1001.3,25.3
108,2019.8.4 8:00,27.1,,1.2,70,70,1001.5,26.7
108,2019.8.4 9:00,29,,0.9,50,63,1001.7,29.1
108,2019.8.4 10:00,30.6,,1.7,230,58,1002,33.2
108,2019.8.4 11:00,31.9,,1.5,340,56,1001.8,37.1
108,2019.8.4 12:00,32.2,,1.4,290,61,1001.3,34.5
108,2019.8.4 13:00,33.2,,2.2,290,55,1001.1,37.4
108,2019.8.4 14:00,33.1,,1.5,290,51,1000.7,38.9
108,2019.8.4 15:00,33.9,,2.7,320,53,1000.2,37.2
108,2019.8.4 16:00,33.2,,2.7,290,56,999.8,34
108,2019.8.4 17:00,31.9,0.9,1.7,270,70,999.9,30.9
108,2019.8.4 18:00,26.8,7.7,2.6,360,86,1000.5,28.1
108,2019.8.4 19:00,27,0,0.5,360,85,1000.1,28.1
108,2019.8.4 20:00,27.3,,0.7,50,87,1000.3,27.5
108,2019.8.4 21:00,27.1,,0.3,0,87,1000.8,27
108,2019.8.4 22:00,26.9,,0.6,20,86,1000.9,26.6
108,2019.8.4 23:00,26.8,,1,20,87,1001,26.4
108,2019.8.5 0:00,26.6,,0.8,20,90,1000.7,26.1
108,2019.8.5 1:00,26.6,,0.8,320,89,1000.6,25.7
108,2019.8.5 2:00,26.4,,0.4,0,91,1000.3,25.6
108,2019.8.5 3:00,26.1,,0.3,0,94,1000.2,25.3
108,2019.8.5 4:00,25.9,,0.4,0,94,1000.3,25.1
108,2019.8.5 5:00,25.7,,0.6,20,95,1000.6,25
108,2019.8.5 6:00,25.6,,0.5,20,96,1001.1,25
108,2019.8.5 7:00,26,,0.7,20,88,1001.4,25.9
108,2019.8.5 8:00,27.4,,0.8,20,76,1001.7,27.5
108,2019.8.5 9:00,29.4,,1.1,50,69,1001.5,29.4
108,2019.8.5 10:00,30.9,,1.5,50,61,1001.3,32.6
108,2019.8.5 11:00,32.4,,1.4,50,57,1001,36.5
108,2019.8.5 12:00,32.3,,1.4,290,54,1000.5,33.9
108,2019.8.5 13:00,33.4,,0.9,50,44,999.9,40.2
108,2019.8.5 14:00,35.1,,1.5,290,44,999.1,41.6
108,2019.8.5 15:00,35.3,,1.3,360,43,998.5,38.8
108,2019.8.5 16:00,35.5,,2.4,340,46,998.1,37.5
108,2019.8.5 17:00,35.2,,2.3,340,49,998,36.5
108,2019.8.5 18:00,34.2,,2.3,340,51,997.7,32.6
108,2019.8.5 19:00,32.8,,2.3,340,54,997.9,29.8
108,2019.8.5 20:00,31.9,,1.9,340,54,998.4,28.7
108,2019.8.5 21:00,31.4,,0.6,320,58,999,28.5
108,2019.8.5 22:00,31,,0.5,290,60,999.1,28.1
108,2019.8.5 23:00,30.4,,0.6,70,57,999,27.6
108,2019.8.6 0:00,29.9,,0.4,0,59,998.9,27.1
108,2019.8.6 1:00,29.4,,1,90,60,998.7,27
108,2019.8.6 2:00,29.1,,1.1,50,66,998.4,26.7
108,2019.8.6 3:00,28.9,,1.3,70,68,998.5,26.6
108,2019.8.6 4:00,28.7,,1.1,70,70,998.6,26.4
108,2019.8.6 5:00,28.2,,0.8,90,71,998.7,26.1
108,2019.8.6 6:00,27.9,,0.9,50,71,999,26.4
108,2019.8.6 7:00,28.5,,1.4,70,67,999.1,27.6
108,2019.8.6 8:00,29.3,,1.2,70,61,999,28.6
108,2019.8.6 9:00,30.8,,1.5,70,55,998.6,29.8
108,2019.8.6 10:00,32.3,,1.8,50,47,998.3,32.7
108,2019.8.6 11:00,33.5,,2,50,45,997.8,36.4
108,2019.8.6 12:00,34.4,,1.8,50,41,997.1,38.5
108,2019.8.6 13:00,35.2,,1.3,50,37,996.6,41.2
108,2019.8.6 14:00,36.1,,1.5,20,38,996,42.4
108,2019.8.6 15:00,36.6,,1.7,70,32,995.5,42.3
108,2019.8.6 16:00,36.7,,1.4,110,35,995.1,40.9
108,2019.8.6 17:00,35.7,,2.2,110,36,995.1,38.2
108,2019.8.6 18:00,34.8,,2.1,70,43,995,34.6
108,2019.8.6 19:00,33.4,,2.5,90,47,995.2,31.6
108,2019.8.6 20:00,31.7,,1.9,70,50,995.6,29.4
108,2019.8.6 21:00,30.6,,2.4,70,50,996.1,28.2
108,2019.8.6 22:00,30.1,,2.4,90,49,995.9,27.6
108,2019.8.6 23:00,29.5,,1.6,70,51,995.6,27.1
108,2019.8.7 0:00,29.1,,1,90,51,995.3,26.9
108,2019.8.7 1:00,28.7,,1.4,90,52,995.2,26.7
108,2019.8.7 2:00,28.4,0,1,90,55,994.6,26.5
108,2019.8.7 3:00,27.9,0.1,0.5,50,63,994.2,26.2
108,2019.8.7 4:00,26.6,0.6,0.6,50,77,994.4,26
108,2019.8.7 5:00,25.5,1.2,1.3,50,85,994.2,25.6
108,2019.8.7 6:00,25.2,1.3,0.3,0,89,994.4,25.6
108,2019.8.7 7:00,24.5,1.4,2.5,270,94,994.7,25.4
108,2019.8.7 8:00,23.9,2.1,2.6,270,95,994.8,25.4
108,2019.8.7 9:00,24.3,0.7,1.5,270,94,994.9,26.2
108,2019.8.7 10:00,24.6,0.2,1.2,250,93,995.5,26.7
108,2019.8.7 11:00,24.9,0.4,2.2,290,94,995.7,26.7
108,2019.8.7 12:00,25.2,0,1.5,320,87,996,26.7
108,2019.8.7 13:00,25.8,0,1.1,270,82,996.1,27.9
108,2019.8.7 14:00,26.7,,0.7,290,77,996.1,28.8
108,2019.8.7 15:00,27.8,,0.9,340,74,995.4,30.9
108,2019.8.7 16:00,29.1,,1.3,290,67,995.3,32.3
108,2019.8.7 17:00,29.7,,1.4,290,66,995.4,31.9
108,2019.8.7 18:00,30.2,,0.9,320,64,995.3,30.1
108,2019.8.7 19:00,29.4,,1.1,290,71,995.9,28.1
108,2019.8.7 20:00,28.4,,0.9,290,72,996.4,27
108,2019.8.7 21:00,27.7,,0.5,360,74,996.9,26.5
108,2019.8.7 22:00,27.2,,1,360,75,996.8,25.9
108,2019.8.7 23:00,26.8,,0.8,200,75,997.1,25.6
108,2019.8.8 0:00,27.1,,1.2,270,80,997.4,25.8
108,2019.8.8 1:00,27.1,,1.2,200,80,997.6,25.9
108,2019.8.8 2:00,27.1,,0.7,250,82,997.5,25.5
108,2019.8.8 3:00,26.8,,0.7,250,83,997.6,25.3
108,2019.8.8 4:00,26.4,,0.7,250,85,997.8,25
108,2019.8.8 5:00,26.1,,0.6,20,86,997.9,25.4
108,2019.8.8 6:00,26,,0.8,20,89,998.1,25.4
108,2019.8.8 7:00,26,,0.7,50,87,998.6,25.8
108,2019.8.8 8:00,26.4,,0.6,20,83,998.9,26.9
108,2019.8.8 9:00,27.6,,1.5,160,72,998.8,28.7
108,2019.8.8 10:00,29.1,,1.1,270,67,999.1,31.6
108,2019.8.8 11:00,31,,2.4,250,57,999.4,35.1
108,2019.8.8 12:00,31.6,,1.9,250,56,998.9,36.7
108,2019.8.8 13:00,31.4,0,2.8,270,61,998.5,36.7
108,2019.8.8 14:00,32.3,,3,270,56,998.1,35.5
108,2019.8.8 15:00,32.5,,2.5,290,56,997.5,37.5
108,2019.8.8 16:00,31.9,,2.4,290,59,997.2,33.4
108,2019.8.8 17:00,30.9,,2.5,290,65,997.8,31.1
108,2019.8.8 18:00,30.1,,2.5,290,65,997.8,29.5
108,2019.8.8 19:00,29.9,,2.6,270,67,997.7,28.5
108,2019.8.8 20:00,29.2,,1,290,71,997.9,27.4
108,2019.8.8 21:00,28.7,,1.9,320,72,998.9,27.1
108,2019.8.8 22:00,28.4,,1.2,360,74,999.2,26.8
108,2019.8.8 23:00,28,,1.1,320,76,999.1,26.4
108,2019.8.9 0:00,27.7,,0.7,290,78,998.8,26.2
108,2019.8.9 1:00,27.4,,0.6,20,79,998.6,26.1
108,2019.8.9 2:00,27.1,,0.6,290,81,998.2,26.1
108,2019.8.9 3:00,26.7,,1.3,290,83,998.4,25.6
108,2019.8.9 4:00,26.4,,0.1,0,83,998.3,25.5
108,2019.8.9 5:00,26.3,,0.7,20,84,998.3,25.6
108,2019.8.9 6:00,26.1,,0.6,50,85,998.5,25.2
108,2019.8.9 7:00,26.2,,1.5,20,81,998.4,25.7
108,2019.8.9 8:00,27.6,,1.5,50,70,998.5,27.1
108,2019.8.9 9:00,28.9,,0.6,180,70,998.4,29.2
108,2019.8.9 10:00,30,,0.8,200,61,998.1,33.1
108,2019.8.9 11:00,31.3,,0.4,0,60,997.8,32.6
108,2019.8.9 12:00,32.7,,2.4,250,56,997.5,38.5
108,2019.8.9 13:00,33.4,,1.4,320,54,997.1,37.7
108,2019.8.9 14:00,33.1,,2.3,290,54,996.8,36.5
108,2019.8.9 15:00,33.4,,3,290,54,996.6,38.5
108,2019.8.9 16:00,34.3,,2.2,230,52,996.3,40.2
108,2019.8.9 17:00,34.5,,1,340,53,996.1,39.2
108,2019.8.9 18:00,33,,2.2,320,58,996.3,33.3
108,2019.8.9 19:00,31.8,,2.1,320,61,996.5,30.8
108,2019.8.9 20:00,30.3,,2.2,290,66,997.2,28.7
108,2019.8.9 21:00,29.6,,1.3,290,69,997.6,27.9
108,2019.8.9 22:00,29.1,,1.5,340,75,998,27.4
108,2019.8.9 23:00,28.6,,0.4,0,77,997.7,27
108,2019.8.10 0:00,28.1,,0.9,70,77,997.9,26.6
108,2019.8.10 1:00,27.8,,0.9,50,78,997.7,26.3
108,2019.8.10 2:00,27.5,,0.7,50,79,997.4,26.1
108,2019.8.10 3:00,27.1,,0.9,50,81,997.1,25.9
108,2019.8.10 4:00,26.9,,0.8,70,81,997,25.6
108,2019.8.10 5:00,26.9,,1,90,80,997,25.5
108,2019.8.10 6:00,26.6,,1,70,82,997.1,25.4
108,2019.8.10 7:00,27.1,,1,90,77,997.4,26.1
108,2019.8.10 8:00,28.8,,1.4,90,69,997.4,27.7
108,2019.8.10 9:00,30.3,,1.4,90,66,997.3,29.7
108,2019.8.10 10:00,31.9,,1.3,70,59,996.8,34
108,2019.8.10 11:00,33.3,,1.5,140,53,996.7,37.9
108,2019.8.10 12:00,34.2,,2,110,52,996.1,41.8
108,2019.8.10 13:00,35.5,,1.6,90,45,995.5,46
108,2019.8.10 14:00,36.1,,1.2,90,44,995.1,46.8
108,2019.8.10 15:00,36.5,,2.5,70,42,994.6,47.3
108,2019.8.10 16:00,36.1,,1.9,90,43,994,43.9
108,2019.8.10 17:00,35.8,,2.4,140,44,993.8,39.3
108,2019.8.10 18:00,35.4,,2.2,110,44,993.8,36.1
108,2019.8.10 19:00,34.3,,1.7,140,44,993.9,32.5
108,2019.8.10 20:00,33.3,,2.2,140,45,994.7,30.8
